t,YA,YB,YC,YD,T
0.0,1.0,0.0,0.0,0.0,1500.0
1.0033444816053512e-07,0.9996591139954519,0.00034088548655312594,5.179964804515934e-10,7.36974131461644e-18,477.34069135992337
2.0066889632107025e-07,0.9996532372847656,0.0003467621910343402,5.242015155068264e-10,7.40586325869585e-18,459.71054378858736
3.010033444816054e-07,0.9996500079557298,0.00034999151687125003,5.27400230974804e-10,7.4230209335499e-18,450.0225486849225
4.013377926421405e-07,0.999647802673149,0.00035219679735413924,5.294979615522788e-10,7.433711916967981e-18,443.4066956987365
5.016722408026756e-07,0.999646138760314,0.00035386070865306906,5.310340350352877e-10,7.441251807067014e-18,438.41495335354267
6.020066889632107e-07,0.9996448083395785,0.00035519112818946174,5.322333033577033e-10,7.446965852618103e-18,434.42368814838863
7.023411371237459e-07,0.9996437032775859,0.000356296189205455,5.332098654667647e-10,7.451505416242811e-18,431.1084997293173
8.02675585284281e-07,0.9996427603169717,0.0003572391490004994,5.340291336468984e-10,7.455234387272577e-18,428.2796158382088
9.030100334448161e-07,0.9996419393372621,0.00035806012800728603,5.347318913702747e-10,7.458374750466012e-18,425.8166749526816
1.0033444816053512e-06,0.9996412133382129,0.0003587861264431397,5.353451800921628e-10,7.461070939302113e-18,423.6386762720327
1.1036789297658864e-06,0.9996405633044336,0.0003594361596799312,5.358877953041603e-10,7.46342168475637e-18,421.6885735772746
1.2040133779264215e-06,0.9996399753533065,0.0003600241103215722,5.363732979788689e-10,7.46549716618448e-18,419.924718982087
1.3043478260869566e-06,0.9996394390489542,0.0003605604142352362,5.36811773519609e-10,7.467348875836504e-18,418.31580482947953
1.4046822742474917e-06,0.999638946353991,0.0003610531087994029,5.372109135314204e-10,7.469015602079059e-18,416.8377189417094
1.5050167224080269e-06,0.9996384909507569,0.00036150851166755714,5.375767093750448e-10,7.470527217213389e-18,415.47150832536954
1.605351170568562e-06,0.999638067785957,0.00036193167613019487,5.379139132374624e-10,7.471907166632282e-18,414.2020130828352
1.7056856187290971e-06,0.99963767275622,0.0003623267055548192,5.382263538343141e-10,7.473174154998374e-18,413.0169230905388
1.8060200668896322e-06,0.9996373024854122,0.0003626969760718188,5.385171582383664e-10,7.474343319287104e-18,411.90610994011587
1.9063545150501674e-06,0.9996369541633653,0.00036304529784701695,5.387889113525582e-10,7.475427064270027e-18,410.8611431198791
