       x    u_numerical        u_exact          error
      2.3000000      0.0000000      0.9045082     -0.9045082
      2.3250000      0.0000000      0.9455031     -0.9455031
      2.3500001      0.0000000      0.9755283     -0.9755283
      2.3750000      0.0000000      0.9938441     -0.9938441
      2.4000001      0.0000000      1.0000000     -1.0000000
      2.4250000      0.0000000      0.9938442     -0.9938442
      2.4500000      0.0000000      0.9755283     -0.9755283
      2.4750001      0.0000000      0.9455031     -0.9455031
      2.5000000      0.0000000      0.9045087     -0.9045087
      2.5250001      0.0000000      0.8535534     -0.8535534
      2.5500000      0.0000000      0.7938930     -0.7938930
      2.5750000      0.0000000      0.7269954     -0.7269954
      2.6000001      0.0000000      0.6545083     -0.6545083
      2.6250000      0.0000000      0.5782175     -0.5782175
      2.6500001      0.0000000      0.5000000     -0.5000000
      2.6750000      0.0000000      0.4217831     -0.4217831
      2.7000000      0.0000000      0.3454916     -0.3454916
      2.7250001      0.0000000      0.2730046     -0.2730046
      2.7500000      0.0000000      0.2061076     -0.2061076
      2.7750001      0.0000000      0.1464466     -0.1464466
      2.8000000      0.0000000      0.0954918     -0.0954918
      2.8250000      0.0000000      0.0544968     -0.0544968
      2.8500001      0.0000000      0.0244717     -0.0244717
      2.8750000      0.0000000      0.0061559     -0.0061559
      2.9000001      0.0000000      0.0000000     -0.0000000
      2.9250000      0.0000000      0.0000000      0.0000000
      2.9500000      0.0000000      0.0000000      0.0000000
      2.9750001      0.0000000      0.0000000      0.0000000
      3.0000000      0.0000000      0.0000000      0.0000000
