       x    u_numerical        u_exact          error
      2.0000000      0.0998094      0.0954913      0.0043181
      2.0250001      0.1519326      0.1464466      0.0054860
      2.0500000      0.2131038      0.2061070      0.0069968
      2.0750000      0.2821801      0.2730046      0.0091755
      2.1000001      0.3565643      0.3454916      0.0110726
      2.1250000      0.4334534      0.4217824      0.0116710
      2.1500001      0.5111076      0.5000000      0.0111077
      2.1750000      0.5885633      0.5782168      0.0103465
      2.2000000      0.6648144      0.6545083      0.0103061
      2.2250001      0.7380368      0.7269954      0.0110414
      2.2500000      0.8053535      0.7938924      0.0114610
      2.2750001      0.8640299      0.8535534      0.0104766
      2.3000000      0.9126573      0.9045082      0.0081491
      2.3250000      0.9509665      0.9455031      0.0054634
      2.3500001      0.9791536      0.9755283      0.0036253
      2.3750000      0.9969490      0.9938441      0.0031049
      2.4000001      1.0030469      1.0000000      0.0030469
      2.4250000      0.9959886      0.9938442      0.0021444
      2.4500000      0.9752240      0.9755283     -0.0003043
      2.4750001      0.9415399      0.9455031     -0.0039632
      2.5000000      0.8970557      0.9045087     -0.0074529
      2.5250001      0.8441917      0.8535534     -0.0093617
      2.5500000      0.7846343      0.7938930     -0.0092587
      2.5750000      0.7191915      0.7269954     -0.0078039
      2.6000001      0.6479887      0.6545083     -0.0065196
      2.6250000      0.5713702      0.5782175     -0.0068473
      2.6500001      0.4907469      0.5000000     -0.0092531
      2.6750000      0.4086949      0.4217831     -0.0130883
      2.7000000      0.3287784      0.3454916     -0.0167133
      2.7250001      0.2547394      0.2730046     -0.0182652
      2.7500000      0.1896656      0.2061076     -0.0164420
      2.7750001      0.1355141      0.1464466     -0.0109325
      2.8000000      0.0928106      0.0954918     -0.0026811
      2.8250000      0.0608888      0.0544968      0.0063920
      2.8500001      0.0382624      0.0244717      0.0137908
      2.8750000      0.0229915      0.0061559      0.0168356
      2.9000001      0.0132765      0.0000000      0.0132765
      2.9250000      0.0072165      0.0000000      0.0072165
      2.9500000      0.0040066      0.0000000      0.0040066
      2.9750001      0.0015975      0.0000000      0.0015975
      3.0000000      0.0015975      0.0000000      0.0015975
