T0_K,invT_1perK,tau_CV_s,tau_CP_s
800.0,0.00125,0.13303666259086333,0.1787126701636073
850.0,0.001176470588235294,0.11246601420192168,0.14042052554276502
900.0,0.0011111111111111111,0.09897052214255553,0.11649826557724707
950.0,0.0010526315789473684,0.07808929576746838,0.08896930497026447
1000.0,0.001,0.045300497497329985,0.051484769819124365
1050.0,0.0009523809523809524,0.020306457394412246,0.023455761351161723
1100.0,0.0009090909090909091,0.008221320478890671,0.009720834210349616
1150.0,0.0008695652173913044,0.0032907586371747613,0.003990830357819167
1200.0,0.0008333333333333334,0.0013627359340228039,0.0016957733596515828
1250.0,0.0008,0.0005988416519983071,0.0007648801141857305
1300.0,0.0007692307692307692,0.00028348466062738415,0.00037176647946268135
1350.0,0.0007407407407407407,0.00014568957279263776,0.00019615135825927748
1400.0,0.0007142857142857143,8.139534149948268e-05,0.00011242731097647718
