phi,P_atm,Tad_K,T0_K
0.5,1,1480.32,300
0.5,5,1480.41,300
0.8,1,1996.62,300
0.8,5,2001.97,300
1.1,1,2210.07,300
1.1,5,2223.4,300
1.4,1,1979.93,300
1.4,5,1981.49,300
1.7,1,1762.32,300
1.7,5,1762.65,300
0.5,1,1717.17,600
0.5,5,1717.83,600
0.8,1,2191.36,600
0.8,5,2208.2,600
1.1,1,2373.61,600
1.1,5,2411.9,600
1.4,1,2189.08,600
1.4,5,2195.68,600
1.7,1,1977.39,600
1.7,5,1979.18,600
