 X, density, velocity, pressure, speed_of_sound, Mach_number, entropy
  0.00000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.25000000000000E-01  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.50000000000000E-01  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.75000000000000E-01  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.10000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.12500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.15000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.17500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.20000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.22500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.25000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.27500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.30000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.32500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.35000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.37500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.40000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.42500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.45000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.47500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.50000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.52500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.55000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.57500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.60000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.62500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.65000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.67500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.70000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.72500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.75000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.77500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.80000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.82500000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
  0.85000000000000E+00  0.10000000000000E+01  0.00000000000000E+00  0.10000000000000E+06  0.37416573867739E+03  0.00000000000000E+00  0.82605240211161E+04
